[I 21:05:04.448 NotebookApp] Writing notebook server cookie secret to /run/user/1000/jupyter/notebook_cookie_secret
[I 21:05:05.042 NotebookApp] JupyterLab beta preview extension loaded from /home/zyc/anaconda3/lib/python3.6/site-packages/jupyterlab
[I 21:05:05.043 NotebookApp] JupyterLab application directory is /home/zyc/anaconda3/share/jupyter/lab
[I 21:05:05.048 NotebookApp] Serving notebooks from local directory: /home/zyc/DataA/jd
[I 21:05:05.048 NotebookApp] 0 active kernels
[I 21:05:05.048 NotebookApp] The Jupyter Notebook is running at:
[I 21:05:05.048 NotebookApp] http://localhost:8888/?token=c549e9ceb453583e474236ba75671ae7575b60b4616475b7
[I 21:05:05.048 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 21:05:05.049 NotebookApp] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=c549e9ceb453583e474236ba75671ae7575b60b4616475b7
[I 21:05:05.231 NotebookApp] Accepting one-time-token-authenticated connection from 127.0.0.1
[16684:16719:0426/210505.269314:ERROR:browser_gpu_channel_host_factory.cc(120)] Failed to launch GPU process.
已在现有的浏览器会话中创建新的窗口。
[I 21:05:18.477 NotebookApp] Creating new notebook in 
[I 21:05:19.204 NotebookApp] Kernel started: 3d06fcd1-c884-4161-aafa-d0b056044ab9
[I 21:05:19.984 NotebookApp] Adapting to protocol v5.1 for kernel 3d06fcd1-c884-4161-aafa-d0b056044ab9
[I 21:07:19.149 NotebookApp] Saving file at /Untitled.ipynb
[I 21:11:19.170 NotebookApp] Saving file at /Untitled.ipynb
[I 21:13:19.170 NotebookApp] Saving file at /Untitled.ipynb
[I 21:15:19.804 NotebookApp] Saving file at /Untitled.ipynb
[I 21:17:19.169 NotebookApp] Saving file at /Untitled.ipynb
[I 21:21:19.778 NotebookApp] Saving file at /Untitled.ipynb
[I 21:23:19.171 NotebookApp] Saving file at /Untitled.ipynb
[I 21:25:19.176 NotebookApp] Saving file at /Untitled.ipynb
[I 21:27:19.168 NotebookApp] Saving file at /Untitled.ipynb
[I 21:29:19.166 NotebookApp] Saving file at /Untitled.ipynb
[I 21:31:19.169 NotebookApp] Saving file at /Untitled.ipynb
[I 21:33:19.170 NotebookApp] Saving file at /Untitled.ipynb
[I 21:35:19.169 NotebookApp] Saving file at /Untitled.ipynb
[I 21:37:19.505 NotebookApp] Saving file at /Untitled.ipynb
[I 21:39:19.169 NotebookApp] Saving file at /Untitled.ipynb
[I 21:41:19.168 NotebookApp] Saving file at /Untitled.ipynb
[I 21:45:19.175 NotebookApp] Saving file at /Untitled.ipynb
[I 21:47:19.173 NotebookApp] Saving file at /Untitled.ipynb
[I 21:49:19.801 NotebookApp] Saving file at /Untitled.ipynb
[I 21:55:19.174 NotebookApp] Saving file at /JD.ipynb
[I 21:57:19.174 NotebookApp] Saving file at /JD.ipynb
[I 21:59:19.172 NotebookApp] Saving file at /JD.ipynb
[I 22:01:19.172 NotebookApp] Saving file at /JD.ipynb
[I 22:09:19.151 NotebookApp] Saving file at /JD.ipynb
[I 22:11:19.174 NotebookApp] Saving file at /JD.ipynb
[I 22:13:19.172 NotebookApp] Saving file at /JD.ipynb
[I 22:15:19.161 NotebookApp] Saving file at /JD.ipynb
[I 22:17:19.170 NotebookApp] Saving file at /JD.ipynb
[I 22:19:19.176 NotebookApp] Saving file at /JD.ipynb
[I 22:21:19.174 NotebookApp] Saving file at /JD.ipynb
[I 22:23:19.219 NotebookApp] Saving file at /JD.ipynb
[I 22:25:19.164 NotebookApp] Saving file at /JD.ipynb
[I 22:27:19.171 NotebookApp] Saving file at /JD.ipynb
[I 22:29:19.148 NotebookApp] Saving file at /JD.ipynb
[I 22:31:19.170 NotebookApp] Saving file at /JD.ipynb
[I 22:33:19.223 NotebookApp] Saving file at /JD.ipynb
[I 22:35:19.801 NotebookApp] Saving file at /JD.ipynb
[I 22:39:19.158 NotebookApp] Saving file at /JD.ipynb
[I 22:41:19.174 NotebookApp] Saving file at /JD.ipynb
[I 22:55:19.173 NotebookApp] Saving file at /JD.ipynb
[I 22:57:19.170 NotebookApp] Saving file at /JD.ipynb
[I 22:59:19.176 NotebookApp] Saving file at /JD.ipynb
[I 23:01:19.184 NotebookApp] Saving file at /JD.ipynb
[I 23:03:19.154 NotebookApp] Saving file at /JD.ipynb
[I 23:05:19.230 NotebookApp] Saving file at /JD.ipynb
[I 23:07:19.812 NotebookApp] Saving file at /JD.ipynb
[I 23:09:19.341 NotebookApp] Saving file at /JD.ipynb
[I 23:11:19.166 NotebookApp] Saving file at /JD.ipynb
[I 23:13:19.183 NotebookApp] Saving file at /JD.ipynb
[I 23:14:19.548 NotebookApp] Saving file at /JD.ipynb
